date,gdp
2020-08-05,1593586
2020-08-06,1593586
2020-08-07,1593586
2020-08-10,1593586
2020-08-11,1593586
2020-08-12,1593586
2020-08-13,1593586
2020-08-14,1593586
2020-08-17,1593586
2020-08-18,1593586
2020-08-19,1593586
2020-08-20,1593586
2020-08-21,1593586
2020-08-24,1593586
2020-08-25,1593586
2020-08-26,1593586
2020-08-27,1593586
2020-08-28,1593586
2020-08-31,1593586
2020-09-01,1593586
2020-09-02,1593586
2020-09-03,1593586
2020-09-04,1593586
2020-09-07,1593586
2020-09-08,1593586
2020-09-09,1593586
2020-09-10,1593586
2020-09-11,1593586
2020-09-14,1593586
2020-09-15,1593586
2020-09-16,1593586
2020-09-17,1593586
2020-09-18,1593586
2020-09-21,1593586
2020-09-22,1593586
2020-09-23,1593586
2020-09-24,1593586
2020-09-25,1593586
2020-09-28,1593586
2020-09-29,1593586
2020-09-30,1593586
2020-10-01,2121415
2020-10-02,2121415
2020-10-05,2121415
2020-10-06,2121415
2020-10-07,2121415
2020-10-08,2121415
2020-10-09,2121415
2020-10-12,2121415
2020-10-13,2121415
2020-10-14,2121415
2020-10-15,2121415
2020-10-16,2121415
2020-10-19,2121415
2020-10-20,2121415
2020-10-21,2121415
2020-10-22,2121415
2020-10-23,2121415
2020-10-26,2121415
2020-10-27,2121415
2020-10-28,2121415
2020-10-29,2121415
2020-10-30,2121415
2020-11-02,2121415
2020-11-03,2121415
2020-11-04,2121415
2020-11-05,2121415
2020-11-06,2121415
2020-11-09,2121415
2020-11-10,2121415
2020-11-11,2121415
2020-11-12,2121415
2020-11-13,2121415
2020-11-16,2121415
2020-11-17,2121415
2020-11-18,2121415
2020-11-19,2121415
2020-11-20,2121415
2020-11-23,2121415
2020-11-24,2121415
2020-11-25,2121415
2020-11-26,2121415
2020-11-27,2121415
2020-11-30,2121415
2020-12-01,2121415
2020-12-02,2121415
2020-12-03,2121415
2020-12-04,2121415
2020-12-07,2121415
2020-12-08,2121415
2020-12-09,2121415
2020-12-10,2121415
2020-12-11,2121415
2020-12-14,2121415
2020-12-15,2121415
2020-12-16,2121415
2020-12-17,2121415
2020-12-18,2121415
2020-12-21,2121415
2020-12-22,2121415
2020-12-23,2121415
2020-12-24,2121415
2020-12-25,2121415
2020-12-28,2121415
2020-12-29,2121415
2020-12-30,2121415
2020-12-31,2121415
2021-01-01,1915368
2021-01-04,1915368
2021-01-05,1915368
2021-01-06,1915368
2021-01-07,1915368
2021-01-08,1915368
2021-01-11,1915368
2021-01-12,1915368
2021-01-13,1915368
2021-01-14,1915368
2021-01-15,1915368
2021-01-18,1915368
2021-01-19,1915368
2021-01-20,1915368
2021-01-21,1915368
2021-01-22,1915368
2021-01-25,1915368
2021-01-26,1915368
2021-01-27,1915368
2021-01-28,1915368
2021-01-29,1915368
2021-02-01,1915368
2021-02-02,1915368
2021-02-03,1915368
2021-02-04,1915368
2021-02-05,1915368
2021-02-08,1915368
2021-02-09,1915368
2021-02-10,1915368
2021-02-11,1915368
2021-02-12,1915368
2021-02-15,1915368
2021-02-16,1915368
2021-02-17,1915368
2021-02-18,1915368
2021-02-19,1915368
2021-02-22,1915368
2021-02-23,1915368
2021-02-24,1915368
2021-02-25,1915368
2021-02-26,1915368
2021-03-01,1915368
2021-03-02,1915368
2021-03-03,1915368
2021-03-04,1915368
2021-03-05,1915368
2021-03-08,1915368
2021-03-09,1915368
2021-03-10,1915368
2021-03-11,1915368
2021-03-12,1915368
2021-03-15,1915368
2021-03-16,1915368
2021-03-17,1915368
2021-03-18,1915368
2021-03-19,1915368
2021-03-22,1915368
2021-03-23,1915368
2021-03-24,1915368
2021-03-25,1915368
2021-03-26,1915368
2021-03-29,1915368
2021-03-30,1915368
2021-03-31,1915368
2021-04-01,2050431
2021-04-02,2050431
2021-04-05,2050431
