date,exchange_rate
2022-03-31,23100.0
2022-04-01,23095.0
2022-04-02,23095.0
2022-04-04,23098.0
2022-04-05,23098.0
2022-04-06,23100.0
2022-04-07,23105.0
2022-04-08,23101.0
2022-04-09,23101.0
2022-04-12,23108.0
2022-04-13,23108.0
2022-04-14,23106.0
2022-04-15,23106.0
2022-04-16,23106.0
2022-04-18,23107.0
2022-04-19,23112.0
2022-04-20,23117.0
2022-04-21,23123.0
2022-04-22,23123.0
2022-04-23,23123.0
2022-04-25,23128.0
2022-04-26,23135.0
2022-04-27,23135.0
2022-04-28,23140.0
2022-04-29,23140.0
2022-05-03,23140.0
2022-05-04,23128.0
2022-05-05,23128.0
2022-05-06,23130.0
2022-05-07,23130.0
2022-05-09,23135.0
2022-05-10,23143.0
2022-05-11,23141.0
2022-05-12,23151.0
2022-05-13,23163.0
2022-05-14,23163.0
2022-05-16,23160.0
2022-05-17,23160.0
2022-05-18,23140.0
2022-05-19,23142.0
2022-05-20,23145.0
2022-05-21,23145.0
2022-05-23,23117.0
2022-05-24,23103.0
2022-05-25,23103.0
2022-05-26,23105.0
2022-05-27,23109.0
2022-05-28,23109.0
2022-05-30,23089.0
2022-05-31,23057.0
2022-06-01,23060.0
2022-06-02,23066.0
2022-06-03,23069.0
2022-06-04,23069.0
2022-06-06,23062.0
2022-06-07,23057.0
2022-06-08,23057.0
2022-06-09,23062.0
2022-06-10,23065.0
2022-06-11,23065.0
2022-06-13,23071.0
2022-06-14,23089.0
2022-06-15,23093.0
2022-06-16,23093.0
2022-06-17,23089.0
2022-06-18,23089.0
2022-06-20,23092.0
2022-06-21,23087.0
2022-06-22,23089.0
2022-06-23,23101.0
2022-06-24,23105.0
2022-06-25,23105.0
2022-06-27,23102.0
2022-06-28,23092.0
2022-06-29,23099.0
2022-06-30,23110.0
2022-07-01,23112.0
2022-07-02,23112.0
2022-07-04,23121.0
2022-07-05,23144.0
2022-07-06,23171.0
2022-07-07,23178.0
2022-07-08,23177.0
2022-07-09,23177.0
2022-07-11,23170.0
2022-07-12,23183.0
2022-07-13,23198.0
2022-07-14,23201.0
2022-07-15,23225.0
2022-07-16,23225.0
2022-07-18,23245.0
2022-07-19,23224.0
2022-07-20,23214.0
2022-07-21,23213.0
2022-07-22,23212.0
2022-07-23,23212.0
2022-07-25,23207.0
2022-07-26,23196.0
2022-07-27,23192.0
2022-07-28,23201.0
2022-07-29,23176.0
2022-08-01,23161.0
2022-08-02,23154.0
2022-08-03,23163.0
2022-08-04,23178.0
2022-08-05,23182.0
2022-08-06,23182.0
2022-08-08,23175.0
2022-08-09,23176.0
2022-08-10,23174.0
2022-08-11,23163.0
2022-08-12,23153.0
2022-08-13,23153.0
2022-08-15,23160.0
2022-08-16,23173.0
2022-08-17,23192.0
2022-08-18,23192.0
2022-08-19,23205.0
2022-08-20,23205.0
2022-08-22,23222.0
2022-08-23,23237.0
2022-08-24,23232.0
2022-08-25,23234.0
2022-08-26,23212.0
2022-08-27,23212.0
2022-08-29,23211.0
2022-08-30,23221.0
2022-08-31,23219.0
2022-09-05,23227.0
2022-09-06,23245.0
2022-09-07,23261.0
2022-09-08,23281.0
2022-09-09,23263.0
2022-09-10,23263.0
2022-09-12,23253.0
2022-09-13,23244.0
2022-09-14,23257.0
2022-09-15,23277.0
2022-09-16,23283.0
2022-09-17,23283.0
2022-09-19,23295.0
2022-09-20,23301.0
2022-09-21,23301.0
2022-09-22,23316.0
2022-09-23,23324.0
2022-09-24,23324.0
2022-09-26,23334.0
2022-09-27,23346.0
2022-09-28,23346.0
2022-09-29,23371.0
2022-09-30,23400.0
2022-10-01,23400.0
2022-10-03,23412.0
2022-10-04,23423.0
2022-10-05,23417.0
2022-10-06,23417.0
2022-10-07,23422.0
2022-10-08,23422.0
2022-10-10,23432.0
2022-10-11,23451.0
2022-10-12,23480.0
2022-10-13,23497.0
2022-10-14,23541.0
2022-10-15,23541.0
2022-10-17,23586.0
2022-10-18,23637.0
2022-10-19,23663.0
2022-10-20,23682.0
2022-10-21,23688.0
2022-10-22,23688.0
2022-10-24,23700.0
2022-10-25,23703.0
2022-10-26,23698.0
2022-10-27,23693.0
2022-10-28,23693.0
2022-10-29,23693.0
2022-10-31,23695.0
2022-11-01,23697.0
2022-11-02,23688.0
2022-11-03,23687.0
2022-11-04,23693.0
2022-11-05,23693.0
2022-11-07,23690.0
2022-11-08,23688.0
2022-11-09,23688.0
2022-11-10,23686.0
2022-11-11,23683.0
2022-11-14,23678.0
2022-11-15,23677.0
2022-11-16,23677.0
2022-11-17,23677.0
2022-11-18,23675.0
2022-11-21,23674.0
2022-11-22,23674.0
2022-11-23,23672.0
2022-11-24,23671.0
2022-11-25,23669.0
2022-11-26,23669.0
2022-11-28,23667.0
2022-11-29,23667.0
2022-11-30,23665.0
2022-12-01,23662.0
2022-12-02,23660.0
2022-12-05,23658.0
2022-12-06,23658.0
2022-12-07,23660.0
2022-12-08,23659.0
2022-12-09,23657.0
2022-12-10,23657.0
2022-12-12,23655.0
2022-12-13,23655.0
2022-12-14,23654.0
2022-12-15,23652.0
2022-12-16,23650.0
2022-12-19,23645.0
2022-12-20,23643.0
2022-12-21,23641.0
2022-12-22,23636.0
2022-12-23,23631.0
2022-12-24,23631.0
2022-12-26,23626.0
2022-12-27,23624.0
2022-12-28,23620.0
2022-12-29,23617.0
2022-12-30,23612.0
2022-12-31,23612.0
2023-01-03,23606.0
2023-01-04,23603.0
2023-01-05,23603.0
2023-01-06,23605.0
2023-01-07,23605.0
2023-01-09,23605.0
2023-01-10,23603.0
2023-01-11,23604.0
2023-01-12,23605.0
2023-01-13,23602.0
2023-01-14,23602.0
2023-01-16,23601.0
2023-01-18,23606.0
2023-01-19,23605.0
2023-01-27,23608.0
2023-01-30,23611.0
2023-01-31,23609.0
2023-02-01,23610.0
2023-02-02,23608.0
2023-02-03,23606.0
2023-02-06,23611.0
2023-02-07,23621.0
2023-02-08,23624.0
2023-02-10,23626.0
2023-02-11,23626.0
2023-02-13,23628.0
2023-02-14,23630.0
2023-02-15,23631.0
2023-02-16,23636.0
2023-02-17,23639.0
2023-02-20,23646.0
2023-02-22,23641.0
2023-02-23,23641.0
2023-02-24,23642.0
2023-02-25,23642.0
2023-02-27,23642.0
2023-02-28,23644.0
2023-03-01,23643.0
2023-03-02,23638.0
2023-03-03,23637.0
2023-03-04,23637.0
2023-03-06,23636.0
2023-03-07,23633.0
2023-03-08,23632.0
2023-03-09,23640.0
2023-03-10,23639.0
2023-03-11,23639.0
2023-03-13,23638.0
2023-03-14,23618.0
2023-03-15,23619.0
2023-03-16,23622.0
2023-03-17,23620.0
2023-03-18,23620.0
2023-03-20,23619.0
2023-03-21,23617.0
2023-03-22,23617.0
2023-03-23,23615.0
2023-03-24,23600.0
2023-03-25,23600.0
2023-03-27,23602.0
2023-03-28,23605.0
2023-03-29,23603.0
2023-03-30,23603.0
2023-04-01,23600.0
2023-04-03,23600.0
2023-04-04,23602.0
2023-04-05,23602.0
2023-04-06,23601.0
2023-04-07,23603.0
2023-04-08,23603.0
2023-04-10,23600.0
2023-04-11,23606.0
2023-04-12,23608.0
2023-04-13,23606.0
2023-04-14,23588.0
2023-04-15,23588.0
2023-04-17,23577.0
2023-04-18,23615.0
2023-04-19,23626.0
2023-04-20,23642.0
2023-04-21,23634.0
2023-04-24,23636.0
2023-04-25,23638.0
2023-04-26,23645.0
2023-04-27,23639.0
2023-04-28,23639.0
2023-05-03,23639.0
2023-05-04,23635.0
2023-05-05,23622.0
2023-05-06,23622.0
2023-05-08,23618.0
2023-05-09,23621.0
2023-05-10,23630.0
2023-05-11,23632.0
2023-05-12,23640.0
2023-05-13,23640.0
2023-05-15,23652.0
2023-05-16,23652.0
2023-05-17,23656.0
2023-05-18,23672.0
2023-05-19,23680.0
2023-05-22,23684.0
2023-05-23,23670.0
2023-05-25,23696.0
2023-05-27,23711.0
2023-05-29,23712.0
2023-05-30,23714.0
2023-05-31,23714.0
2023-06-01,23729.0
2023-06-02,23722.0
2023-06-05,23693.0
2023-06-07,23713.0
2023-06-08,23714.0
2023-06-09,23717.0
2023-06-10,23717.0
2023-06-12,23700.0
2023-06-13,23699.0
2023-06-14,23700.0
2023-06-15,23704.0
2023-06-16,23711.0
2023-06-17,23711.0
2023-06-19,23697.0
2023-06-20,23718.0
2023-06-21,23727.0
2023-06-22,23732.0
2023-06-23,23732.0
2023-06-24,23732.0
2023-06-26,23755.0
2023-06-27,23761.0
2023-06-29,23783.0
2023-06-30,23800.0
