date,vcb_close,vnindex_close,exchange_rate,interest_rate,gdp,inflation,sp500_close,gdp_growth
2020-06-10,68806.0,900.0,23222.0,0.18,1382995.0,0.66,3190.14,0.0
2020-06-11,67578.0,867.37,23212.0,0.16,1382995.0,0.66,3002.1,0.0
2020-06-12,65735.0,863.52,23222.0,0.18,1382995.0,0.66,3041.31,0.0
2020-06-15,62970.0,832.47,23239.0,0.17,1382995.0,0.66,3066.59,0.0
2020-06-16,64276.0,856.13,23249.0,0.17,1382995.0,0.66,3124.74,0.0
2020-06-17,64660.0,854.44,23240.0,0.17,1382995.0,0.66,3113.49,0.0
2020-06-18,65274.0,855.27,23239.0,0.15,1382995.0,0.66,3115.34,0.0
2020-06-19,65581.0,868.56,23234.0,0.13,1382995.0,0.66,3097.74,0.0
2020-06-22,65658.0,871.28,23241.0,0.14,1382995.0,0.66,3117.86,0.0
2020-06-23,66042.0,868.2,23241.0,0.15,1382995.0,0.66,3131.29,0.0
2020-06-24,65043.0,859.71,23228.0,0.15,1382995.0,0.66,3050.33,0.0
2020-06-25,64276.0,854.59,23230.0,0.13,1382995.0,0.66,3083.76,0.0
2020-06-26,63968.0,851.98,23232.0,0.13,1382995.0,0.66,3009.05,0.0
2020-06-29,62586.0,829.36,23229.0,0.12,1382995.0,0.66,3053.24,0.0
2020-06-30,61665.0,825.11,23229.0,0.15,1382995.0,0.66,3100.29,0.0
2020-07-01,63508.0,843.49,23235.0,0.13,1593586.0,0.4,3115.86,0.1522717001869132
2020-07-02,63431.0,842.38,23225.0,0.12,1593586.0,0.4,3130.01,0.0
2020-07-03,63738.0,847.61,23230.0,0.12,1593586.0,0.4,3772.49,0.0
2020-07-06,63661.0,861.16,23227.0,0.13,1593586.0,0.4,3179.72,0.0
2020-07-07,64045.0,863.42,23222.0,0.13,1593586.0,0.4,3145.32,0.0
2020-07-08,63738.0,864.5,23218.0,0.13,1593586.0,0.4,3169.94,0.0
2020-07-09,64199.0,876.46,23221.0,0.14,1593586.0,0.4,3152.05,0.0
2020-07-10,63508.0,871.21,23216.0,0.15,1593586.0,0.4,3185.04,0.0
2020-07-13,63661.0,868.72,23220.0,0.15,1593586.0,0.4,3155.22,0.0
2020-07-14,63738.0,868.11,23216.0,0.14,1593586.0,0.4,3197.52,0.0
2020-07-15,64122.0,869.91,23226.0,0.14,1593586.0,0.4,3226.56,0.0
2020-07-16,64122.0,876.83,23221.0,0.13,1593586.0,0.4,3215.57,0.0
2020-07-17,63584.0,872.02,23235.0,0.14,1593586.0,0.4,3224.73,0.0
2020-07-20,63124.0,861.4,23234.0,0.15,1593586.0,0.4,3251.84,0.0
2020-07-21,63354.0,861.69,23231.0,0.15,1593586.0,0.4,3257.3,0.0
2020-07-22,63354.0,855.08,23221.0,0.15,1593586.0,0.4,3276.02,0.0
2020-07-23,63354.0,856.75,23220.0,0.14,1593586.0,0.4,3235.66,0.0
2020-07-24,62202.0,829.16,23221.0,0.15,1593586.0,0.4,3215.63,0.0
2020-07-27,59130.0,785.17,23216.0,0.19,1593586.0,0.4,3239.41,0.0
2020-07-28,60282.0,813.36,23211.0,0.24,1593586.0,0.4,3218.44,0.0
2020-07-29,59514.0,790.84,23216.0,0.24,1593586.0,0.4,3258.44,0.0
2020-07-30,59438.0,801.13,23212.0,0.2,1593586.0,0.4,3246.22,0.0
2020-07-31,58670.0,798.39,23213.0,0.21,1593586.0,0.4,3271.12,0.0
2020-08-03,60513.0,814.65,23207.0,0.25,1593586.0,0.07,3294.61,0.0
2020-08-04,62893.0,827.57,23214.0,0.25,1593586.0,0.07,3306.51,0.0
2020-08-05,63508.0,837.8,23208.0,0.25,1593586.0,0.07,3327.77,0.0
2020-08-06,63584.0,840.04,23203.0,0.24,1593586.0,0.07,3349.16,0.0
2020-08-07,63661.0,841.46,23200.0,0.22,1593586.0,0.07,3351.28,0.0
2020-08-10,62893.0,843.2,23215.0,0.22,1593586.0,0.07,3360.47,0.0
2020-08-11,63047.0,843.08,23217.0,0.21,1593586.0,0.07,3333.69,0.0
2020-08-12,63047.0,846.92,23217.0,0.19,1593586.0,0.07,3380.35,0.0
2020-08-13,63738.0,855.05,23215.0,0.18,1593586.0,0.07,3373.43,0.0
2020-08-14,62970.0,850.74,23212.0,0.18,1593586.0,0.07,3372.85,0.0
2020-08-17,63200.0,850.15,23214.0,0.19,1593586.0,0.07,3381.99,0.0
2020-08-18,63200.0,846.43,23209.0,0.2,1593586.0,0.07,3389.78,0.0
2020-08-19,63738.0,851.21,23204.0,0.2,1593586.0,0.07,3374.85,0.0
2020-08-20,63738.0,848.21,23200.0,0.19,1593586.0,0.07,3385.51,0.0
2020-08-21,63661.0,854.78,23210.0,0.19,1593586.0,0.07,3397.16,0.0
2020-08-24,64429.0,868.68,23212.0,0.19,1593586.0,0.07,3431.28,0.0
2020-08-25,64429.0,874.12,23211.0,0.19,1593586.0,0.07,3443.62,0.0
2020-08-26,64122.0,873.47,23213.0,0.19,1593586.0,0.07,3478.73,0.0
2020-08-27,64122.0,874.71,23208.0,0.19,1593586.0,0.07,3484.55,0.0
2020-08-28,64045.0,878.98,23205.0,0.18,1593586.0,0.07,3508.01,0.0
2020-08-31,63738.0,881.65,23200.0,0.16,1593586.0,0.07,3500.31,0.0
2020-09-01,63738.0,891.73,23195.0,0.16,1593586.0,0.12,3526.65,0.0
2020-09-03,66195.0,903.97,23203.0,0.16,1593586.0,0.12,3455.06,0.0
2020-09-04,65197.0,901.54,23206.0,0.16,1593586.0,0.12,3426.96,0.0
2020-09-07,64199.0,888.25,23207.0,0.15,1593586.0,0.12,3962.43,0.0
2020-09-08,63354.0,890.14,23205.0,0.15,1593586.0,0.12,3331.84,0.0
2020-09-09,63124.0,889.32,23203.0,0.15,1593586.0,0.12,3398.96,0.0
2020-09-10,63047.0,888.82,23211.0,0.15,1593586.0,0.12,3339.19,0.0
2020-09-11,63200.0,888.97,23206.0,0.14,1593586.0,0.12,3340.97,0.0
2020-09-14,63738.0,894.57,23208.0,0.14,1593586.0,0.12,3383.54,0.0
2020-09-15,63354.0,896.26,23203.0,0.14,1593586.0,0.12,3401.2,0.0
2020-09-16,63661.0,897.47,23198.0,0.13,1593586.0,0.12,3385.49,0.0
2020-09-17,63354.0,894.04,23193.0,0.11,1593586.0,0.12,3357.01,0.0
2020-09-18,63661.0,900.95,23196.0,0.11,1593586.0,0.12,3319.47,0.0
2020-09-21,63738.0,907.94,23191.0,0.11,1593586.0,0.12,3281.06,0.0
2020-09-22,64506.0,906.19,23200.0,0.11,1593586.0,0.12,3315.57,0.0
2020-09-23,65581.0,912.5,23213.0,0.1,1593586.0,0.12,3236.92,0.0
2020-09-24,66119.0,908.58,23218.0,0.11,1593586.0,0.12,3246.59,0.0
2020-09-25,66042.0,908.27,23223.0,0.11,1593586.0,0.12,3298.46,0.0
2020-09-28,66042.0,912.5,23226.0,0.11,1593586.0,0.12,3351.6,0.0
2020-09-29,64967.0,903.98,23220.0,0.11,1593586.0,0.12,3335.47,0.0
2020-09-30,64583.0,905.21,23215.0,0.13,1593586.0,0.12,3363.0,0.0
2020-10-01,65120.0,914.09,23213.0,0.11,2121415.0,0.09,3380.8,0.3312209068101753
2020-10-02,64506.0,909.91,23214.0,0.11,2121415.0,0.09,3348.44,0.0
2020-10-05,64122.0,914.68,23212.0,0.11,2121415.0,0.09,3408.63,0.0
2020-10-06,64429.0,915.67,23208.0,0.1,2121415.0,0.09,3360.95,0.0
2020-10-07,65274.0,919.72,23205.0,0.1,2121415.0,0.09,3419.45,0.0
2020-10-08,65120.0,918.84,23203.0,0.1,2121415.0,0.09,3446.83,0.0
2020-10-09,65120.0,924.0,23198.0,0.1,2121415.0,0.09,3477.13,0.0
2020-10-12,65965.0,925.83,23193.0,0.1,2121415.0,0.09,3534.22,0.0
2020-10-13,66426.0,929.86,23195.0,0.1,2121415.0,0.09,3511.93,0.0
2020-10-14,67731.0,940.18,23197.0,0.1,2121415.0,0.09,3488.67,0.0
2020-10-15,68038.0,942.76,23192.0,0.1,2121415.0,0.09,3483.34,0.0
2020-10-16,67731.0,943.3,23201.0,0.1,2121415.0,0.09,3483.81,0.0
2020-10-19,67194.0,943.69,23196.0,0.1,2121415.0,0.09,3426.92,0.0
2020-10-20,67347.0,944.42,23191.0,0.11,2121415.0,0.09,3443.12,0.0
2020-10-21,66195.0,939.03,23185.0,0.1,2121415.0,0.09,3435.56,0.0
2020-10-22,66503.0,949.9,23180.0,0.1,2121415.0,0.09,3453.49,0.0
2020-10-23,67194.0,961.26,23185.0,0.1,2121415.0,0.09,3465.39,0.0
2020-10-26,66042.0,950.8,23182.0,0.11,2121415.0,0.09,3400.97,0.0
2020-10-27,66042.0,946.47,23187.0,0.1,2121415.0,0.09,3390.68,0.0
2020-10-28,64660.0,921.05,23190.0,0.1,2121415.0,0.09,3271.03,0.0
2020-10-29,64199.0,919.08,23198.0,0.1,2121415.0,0.09,3310.11,0.0
2020-10-30,63738.0,925.47,23201.0,0.11,2121415.0,0.09,3269.96,0.0
2020-11-02,65888.0,933.68,23201.0,0.1,2121415.0,-0.01,3310.24,0.0
2020-11-03,65274.0,935.41,23198.0,0.1,2121415.0,-0.01,3369.16,0.0
2020-11-04,65274.0,939.76,23190.0,0.11,2121415.0,-0.01,3443.44,0.0
2020-11-05,65274.0,937.75,23200.0,0.12,2121415.0,-0.01,3510.45,0.0
2020-11-06,65274.0,938.29,23185.0,0.12,2121415.0,-0.01,3509.44,0.0
2020-11-09,65658.0,951.99,23180.0,0.11,2121415.0,-0.01,3550.5,0.0
2020-11-10,65351.0,951.9,23182.0,0.11,2121415.0,-0.01,3545.53,0.0
2020-11-11,65197.0,952.22,23187.0,0.11,2121415.0,-0.01,3572.66,0.0
2020-11-12,66349.0,959.28,23187.0,0.11,2121415.0,-0.01,3537.01,0.0
2020-11-13,66733.0,966.29,23192.0,0.11,2121415.0,-0.01,3585.15,0.0
2020-11-16,65888.0,950.79,23184.0,0.11,2121415.0,-0.01,3626.91,0.0
2020-11-17,67270.0,968.9,23174.0,0.11,2121415.0,-0.01,3609.53,0.0
2020-11-18,67270.0,973.53,23164.0,0.11,2121415.0,-0.01,3567.79,0.0
2020-11-19,69267.0,983.26,23179.0,0.11,2121415.0,-0.01,3581.87,0.0
2020-11-20,71033.0,990.0,23338.93,0.11,2121415.0,-0.01,3557.54,0.0
2020-11-23,70342.0,994.19,23175.0,0.11,2121415.0,-0.01,3577.59,0.0
2020-11-24,70957.0,995.76,23168.0,0.1,2121415.0,-0.01,3635.41,0.0
2020-11-25,71801.0,999.94,23165.0,0.1,2121415.0,-0.01,3629.65,0.0
2020-11-26,72185.0,1005.97,23164.0,0.11,2121415.0,-0.01,4105.84,0.0
2020-11-27,72569.0,1010.22,23162.0,0.1,2121415.0,-0.01,3638.35,0.0
2020-11-30,71417.0,1003.08,23155.0,0.1,2121415.0,-0.01,3621.63,0.0
2020-12-01,70649.0,1008.87,23152.0,0.1,2121415.0,0.1,3662.45,0.0
2020-12-02,71801.0,1014.32,23152.0,0.1,2121415.0,0.1,3669.01,0.0
2020-12-03,71801.0,1019.8,23147.0,0.11,2121415.0,0.1,3666.72,0.0
2020-12-04,69958.0,1021.49,23142.0,0.11,2121415.0,0.1,3699.12,0.0
2020-12-07,71494.0,1029.98,23137.0,0.11,2121415.0,0.1,3691.96,0.0
2020-12-08,71494.0,1029.26,23347.64,0.11,2121415.0,0.1,3702.25,0.0
2020-12-09,74105.0,1039.13,23140.0,0.11,2121415.0,0.1,3672.82,0.0
2020-12-10,74643.0,1030.91,23146.0,0.1,2121415.0,0.1,3668.1,0.0
2020-12-11,74643.0,1045.96,23146.0,0.11,2121415.0,0.1,3663.46,0.0
2020-12-14,76716.0,1064.09,23143.0,0.11,2121415.0,0.1,3647.49,0.0
2020-12-15,75103.0,1055.27,23144.0,0.1,2121415.0,0.1,3694.62,0.0
2020-12-16,76716.0,1066.99,23148.0,0.1,2121415.0,0.1,3701.17,0.0
2020-12-17,73721.0,1051.77,23143.0,0.1,2121415.0,0.1,3722.48,0.0
2020-12-18,75948.0,1067.46,23138.0,0.11,2121415.0,0.1,3709.41,0.0
2020-12-21,76567.0,1081.08,23149.0,0.11,2121415.0,0.1,3694.92,0.0
2020-12-22,75793.0,1083.45,23154.0,0.11,2121415.0,0.1,3687.26,0.0
2020-12-23,75484.0,1078.9,23167.0,0.11,2121415.0,0.1,3690.01,0.0
2020-12-24,75329.0,1067.52,23162.0,0.11,2121415.0,0.1,3703.06,0.0
2020-12-25,75561.0,1084.42,23152.0,0.12,2121415.0,0.1,4153.23,0.0
2020-12-28,75871.0,1091.33,23149.0,0.12,2121415.0,0.1,3735.36,0.0
2020-12-29,76800.0,1099.49,23148.0,0.13,2121415.0,0.1,3727.04,0.0
2020-12-30,75793.0,1097.54,23141.0,0.13,2121415.0,0.1,3732.04,0.0
2020-12-31,75793.0,1103.87,23131.0,0.15,2121415.0,0.1,3756.07,0.0
2021-01-04,76645.0,1120.47,23131.0,0.15,1915368.0,0.06,3700.65,-0.09712715333869139
2021-01-05,76877.0,1132.55,23121.0,0.13,1915368.0,0.06,3726.86,0.0
2021-01-06,81290.0,1143.21,23123.0,0.11,1915368.0,0.06,3748.14,0.0
2021-01-07,82838.0,1156.49,23117.0,0.11,1915368.0,0.06,3803.79,0.0
2021-01-08,81135.0,1167.69,23121.0,0.11,1915368.0,0.06,3824.68,0.0
2021-01-11,80903.0,1184.89,23127.0,0.11,1915368.0,0.06,3799.61,0.0
2021-01-12,81755.0,1192.28,23140.0,0.1,1915368.0,0.06,3801.19,0.0
2021-01-13,81135.0,1186.05,23134.0,0.1,1915368.0,0.06,3809.84,0.0
2021-01-14,80438.0,1187.4,23132.0,0.1,1915368.0,0.06,3795.54,0.0
2021-01-15,79896.0,1194.2,23136.0,0.11,1915368.0,0.06,3768.25,0.0
2021-01-18,79974.0,1191.94,23141.0,0.11,1915368.0,0.06,3853.86,0.0
2021-01-19,76645.0,1131.0,23152.0,0.1,1915368.0,0.06,3798.91,0.0
2021-01-20,76722.0,1134.68,23148.0,0.1,1915368.0,0.06,3851.85,0.0
2021-01-21,79742.0,1164.21,23144.0,0.1,1915368.0,0.06,3853.07,0.0
2021-01-22,79742.0,1166.78,23137.0,0.1,1915368.0,0.06,3841.47,0.0
2021-01-25,79355.0,1166.05,23147.0,0.1,1915368.0,0.06,3855.36,0.0
2021-01-26,78116.0,1136.12,23142.0,0.11,1915368.0,0.06,3849.62,0.0
2021-01-27,75406.0,1097.17,23144.0,0.11,1915368.0,0.06,3750.77,0.0
2021-01-28,70142.0,1023.94,23147.0,0.14,1915368.0,0.06,3787.38,0.0
2021-01-29,72000.0,1056.61,23160.0,0.33,1915368.0,0.06,3714.24,0.0
2021-02-01,70529.0,1035.51,23151.0,0.6,1915368.0,1.52,3773.86,0.0
2021-02-02,74709.0,1075.53,23152.0,1.68,1915368.0,1.52,3826.31,0.0
2021-02-03,76567.0,1111.29,23145.0,2.52,1915368.0,1.52,3830.17,0.0
2021-02-04,76567.0,1112.19,23144.0,2.08,1915368.0,1.52,3871.74,0.0
2021-02-05,77419.0,1126.91,23154.0,2.09,1915368.0,1.52,3886.83,0.0
2021-02-08,72851.0,1083.18,23149.0,2.86,1915368.0,1.52,3915.59,0.0
2021-02-09,75251.0,1114.93,23137.0,2.3,1915368.0,1.52,3911.23,0.0
2021-02-17,77419.0,1155.78,23122.0,2.11,1915368.0,1.52,3931.33,0.0
2021-02-18,78967.0,1174.38,23132.0,1.34,1915368.0,1.52,3913.97,0.0
2021-02-19,78425.0,1173.5,23134.0,0.66,1915368.0,1.52,3906.71,0.0
2021-02-22,77884.0,1175.04,23125.0,0.42,1915368.0,1.52,3876.5,0.0
2021-02-23,77419.0,1177.64,23140.0,0.37,1915368.0,1.52,3881.37,0.0
2021-02-24,75948.0,1162.01,23132.0,0.33,1915368.0,1.52,3925.43,0.0
2021-02-25,76025.0,1165.43,23130.0,0.29,1915368.0,1.52,3829.34,0.0
2021-02-26,76025.0,1168.47,23130.0,0.34,1915368.0,1.52,3811.15,0.0
2021-03-01,76800.0,1186.17,23145.0,0.4,1915368.0,-0.27,3901.82,0.0
2021-03-02,76877.0,1186.61,23151.0,0.35,1915368.0,-0.27,3870.29,0.0
2021-03-03,76180.0,1186.95,23161.0,0.31,1915368.0,-0.27,3819.72,0.0
2021-03-04,75329.0,1168.52,23152.0,0.29,1915368.0,-0.27,3768.47,0.0
2021-03-05,74632.0,1168.69,23166.0,0.28,1915368.0,-0.27,3841.94,0.0
2021-03-08,73703.0,1168.27,23185.0,0.29,1915368.0,-0.27,3821.35,0.0
2021-03-09,73548.0,1161.97,23200.0,0.29,1915368.0,-0.27,3875.44,0.0
2021-03-10,73935.0,1170.08,23203.0,0.29,1915368.0,-0.27,3898.81,0.0
2021-03-11,74555.0,1181.73,23204.0,0.28,1915368.0,-0.27,3939.34,0.0
2021-03-12,74167.0,1181.56,23183.0,0.28,1915368.0,-0.27,3943.34,0.0
2021-03-15,74555.0,1184.56,23200.0,0.29,1915368.0,-0.27,3968.94,0.0
2021-03-16,74090.0,1179.9,23204.0,0.28,1915368.0,-0.27,3962.71,0.0
2021-03-17,74013.0,1186.09,23204.0,0.28,1915368.0,-0.27,3974.12,0.0
2021-03-18,75484.0,1200.94,23199.0,0.27,1915368.0,-0.27,3915.46,0.0
2021-03-19,72929.0,1194.05,23194.0,0.26,1915368.0,-0.27,3913.1,0.0
2021-03-22,75096.0,1194.43,23204.0,0.27,1915368.0,-0.27,3940.59,0.0
2021-03-23,74167.0,1183.45,23197.0,0.26,1915368.0,-0.27,3910.52,0.0
2021-03-24,73316.0,1161.81,23206.0,0.26,1915368.0,-0.27,3889.14,0.0
2021-03-25,73626.0,1163.1,23218.0,0.25,1915368.0,-0.27,3909.52,0.0
2021-03-26,73471.0,1162.21,23230.0,0.26,1915368.0,-0.27,3974.54,0.0
