"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"16/08/2023","4,404.33","4,433.79","4,449.95","4,403.55","","-0.76%"
"15/08/2023","4,437.86","4,478.87","4,478.87","4,432.19","","-1.16%"
"14/08/2023","4,489.72","4,458.13","4,490.33","4,453.44","","0.58%"
"11/08/2023","4,464.05","4,450.69","4,476.23","4,443.98","","-0.11%"
"10/08/2023","4,468.83","4,487.16","4,527.37","4,457.92","","0.03%"
"09/08/2023","4,467.71","4,501.57","4,502.44","4,461.33","","-0.70%"
"08/08/2023","4,499.38","4,498.03","4,503.31","4,464.39","","-0.42%"
"07/08/2023","4,518.44","4,491.58","4,519.84","4,491.15","","0.90%"
"04/08/2023","4,478.03","4,513.96","4,540.34","4,474.55","","-0.53%"
"03/08/2023","4,501.89","4,494.27","4,519.49","4,485.54","","-0.25%"
"02/08/2023","4,513.39","4,550.93","4,550.93","4,505.75","","-1.38%"
"01/08/2023","4,576.73","4,578.83","4,584.62","4,567.53","","-0.27%"
"31/07/2023","4,588.96","4,584.82","4,594.22","4,573.14","","0.15%"
"28/07/2023","4,582.23","4,565.75","4,590.16","4,564.01","","0.99%"
"27/07/2023","4,537.41","4,598.26","4,607.07","4,528.56","","-0.64%"
"26/07/2023","4,566.75","4,558.96","4,582.47","4,547.58","","-0.02%"
"25/07/2023","4,567.46","4,555.19","4,580.62","4,552.42","","0.28%"
"24/07/2023","4,554.64","4,543.39","4,563.41","4,541.29","","0.40%"
"21/07/2023","4,536.34","4,550.16","4,555.00","4,535.79","","0.03%"
"20/07/2023","4,534.87","4,554.38","4,564.74","4,527.56","","-0.68%"
"19/07/2023","4,565.72","4,563.87","4,578.43","4,557.48","","0.24%"
"18/07/2023","4,554.98","4,521.78","4,562.30","4,514.59","","0.71%"
"17/07/2023","4,522.79","4,508.86","4,532.85","4,504.90","","0.39%"
"14/07/2023","4,505.42","4,514.61","4,527.76","4,499.56","","-0.10%"
"13/07/2023","4,510.04","4,491.50","4,517.38","4,489.36","","0.85%"
"12/07/2023","4,472.16","4,467.69","4,488.34","4,463.23","","0.74%"
"11/07/2023","4,439.26","4,415.55","4,443.64","4,408.46","","0.67%"
"10/07/2023","4,409.53","4,394.23","4,412.60","4,389.92","","0.24%"
"07/07/2023","4,398.95","4,404.54","4,440.39","4,397.40","","-0.29%"
"06/07/2023","4,411.59","4,422.62","4,422.62","4,385.05","","-0.79%"
"05/07/2023","4,446.82","4,442.04","4,454.06","4,436.61","","-0.20%"
"03/07/2023","4,455.59","4,450.48","4,456.46","4,442.29","","0.12%"
"30/06/2023","4,450.38","4,422.44","4,458.48","4,422.44","","1.23%"
"29/06/2023","4,396.44","4,374.94","4,398.39","4,371.97","","0.45%"
"28/06/2023","4,376.86","4,367.48","4,390.35","4,360.22","","-0.04%"
"27/06/2023","4,378.41","4,337.36","4,384.42","4,335.00","","1.15%"
"26/06/2023","4,328.82","4,344.84","4,362.06","4,328.08","","-0.45%"
"23/06/2023","4,348.33","4,354.17","4,366.55","4,341.34","","-0.77%"
"22/06/2023","4,381.89","4,355.40","4,382.25","4,351.82","","0.37%"
"21/06/2023","4,365.69","4,380.01","4,386.22","4,360.14","","-0.52%"
"20/06/2023","4,388.71","4,396.11","4,400.15","4,367.19","","-0.47%"
"16/06/2023","4,409.59","4,440.95","4,448.47","4,407.44","","-0.37%"
"15/06/2023","4,425.84","4,365.33","4,439.20","4,362.60","","1.22%"
"14/06/2023","4,372.59","4,366.29","4,391.82","4,337.85","","0.08%"
"13/06/2023","4,369.01","4,352.61","4,375.37","4,349.31","","0.69%"
"12/06/2023","4,338.93","4,308.32","4,340.13","4,304.37","","0.93%"
"09/06/2023","4,298.86","4,304.88","4,322.62","4,291.70","","0.11%"
"08/06/2023","4,293.93","4,268.69","4,298.01","4,261.07","","0.62%"
"07/06/2023","4,267.52","4,285.47","4,299.19","4,263.96","","-0.38%"
"06/06/2023","4,283.85","4,271.34","4,288.33","4,263.09","","0.24%"
"05/06/2023","4,273.79","4,282.99","4,299.28","4,266.82","","-0.20%"
"02/06/2023","4,282.37","4,241.01","4,290.67","4,241.01","","1.45%"
"01/06/2023","4,221.02","4,183.03","4,232.43","4,171.64","","0.99%"
"31/05/2023","4,179.83","4,190.74","4,195.44","4,166.15","","-0.61%"
"30/05/2023","4,205.52","4,226.71","4,231.10","4,192.18","","0.00%"
"26/05/2023","4,205.45","4,156.16","4,212.87","4,156.16","","1.30%"
"25/05/2023","4,151.28","4,155.71","4,165.74","4,129.73","","0.88%"
"24/05/2023","4,115.24","4,132.96","4,132.96","4,103.98","","-0.73%"
"23/05/2023","4,145.58","4,176.80","4,185.68","4,142.54","","-1.12%"
"22/05/2023","4,192.63","4,190.78","4,209.22","4,179.68","","0.02%"
"19/05/2023","4,191.98","4,204.15","4,212.91","4,180.20","","-0.14%"
"18/05/2023","4,198.05","4,157.68","4,202.20","4,153.50","","0.94%"
"17/05/2023","4,158.77","4,122.85","4,164.67","4,113.62","","1.19%"
"16/05/2023","4,109.90","4,127.95","4,135.54","4,109.86","","-0.64%"
"15/05/2023","4,136.28","4,126.65","4,141.25","4,110.27","","0.30%"
"12/05/2023","4,124.08","4,138.54","4,143.74","4,099.12","","-0.16%"
"11/05/2023","4,130.62","4,132.24","4,132.80","4,109.29","","-0.17%"
"10/05/2023","4,137.64","4,143.74","4,154.28","4,098.92","","0.45%"
"09/05/2023","4,119.17","4,124.25","4,130.35","4,116.65","","-0.46%"
"08/05/2023","4,138.12","4,136.98","4,142.30","4,123.81","","0.05%"
"05/05/2023","4,136.25","4,084.73","4,147.02","4,084.73","","1.85%"
"04/05/2023","4,061.22","4,082.55","4,082.61","4,048.28","","-0.72%"
"03/05/2023","4,090.75","4,122.25","4,148.30","4,088.86","","-0.70%"
"02/05/2023","4,119.58","4,164.10","4,164.10","4,089.72","","-1.16%"
"01/05/2023","4,167.87","4,166.79","4,186.92","4,164.12","","-0.04%"
"28/04/2023","4,169.48","4,129.63","4,170.06","4,127.18","","0.83%"
"27/04/2023","4,135.35","4,075.29","4,138.24","4,075.29","","1.96%"
"26/04/2023","4,055.99","4,087.78","4,089.67","4,049.35","","-0.38%"
"25/04/2023","4,071.63","4,126.43","4,126.43","4,071.38","","-1.58%"
"24/04/2023","4,137.04","4,132.07","4,142.41","4,117.77","","0.09%"
"21/04/2023","4,133.52","4,132.14","4,138.02","4,113.86","","0.09%"
"20/04/2023","4,129.79","4,130.48","4,148.57","4,114.57","","-0.60%"
"19/04/2023","4,154.52","4,139.33","4,162.57","4,134.49","","-0.01%"
"18/04/2023","4,154.87","4,164.26","4,169.48","4,140.36","","0.09%"
"17/04/2023","4,151.32","4,137.17","4,151.72","4,123.18","","0.33%"
"14/04/2023","4,137.64","4,140.11","4,163.19","4,113.20","","-0.21%"
"13/04/2023","4,146.22","4,100.04","4,150.26","4,099.40","","1.33%"
"12/04/2023","4,091.95","4,121.72","4,134.37","4,086.94","","-0.41%"
"11/04/2023","4,108.94","4,110.29","4,124.26","4,102.61","","0.00%"
"10/04/2023","4,109.11","4,085.20","4,109.50","4,072.55","","0.10%"
"06/04/2023","4,105.02","4,081.15","4,107.32","4,069.84","","0.36%"
"05/04/2023","4,090.38","4,094.50","4,099.69","4,072.56","","-0.25%"
"04/04/2023","4,100.60","4,128.03","4,133.13","4,086.87","","-0.58%"
"03/04/2023","4,124.51","4,102.20","4,127.66","4,098.79","","0.37%"
"31/03/2023","4,109.31","4,056.18","4,110.75","4,056.18","","1.44%"
"30/03/2023","4,050.83","4,046.74","4,057.85","4,032.10","","0.57%"
"29/03/2023","4,027.81","3,999.53","4,030.59","3,999.53","","1.42%"
"28/03/2023","3,971.27","3,974.13","3,979.20","3,951.53","","-0.16%"
"27/03/2023","3,977.53","3,982.93","4,003.83","3,970.49","","0.16%"
"24/03/2023","3,970.99","3,939.21","3,972.74","3,909.16","","0.56%"
"23/03/2023","3,948.72","3,959.21","4,007.66","3,919.05","","0.30%"
"22/03/2023","3,936.97","4,002.04","4,039.49","3,936.17","","-1.65%"
"21/03/2023","4,002.87","3,975.89","4,009.08","3,971.19","","1.30%"
"20/03/2023","3,951.57","3,917.47","3,956.62","3,916.89","","0.89%"
"17/03/2023","3,916.64","3,958.69","3,958.91","3,901.27","","-1.10%"
"16/03/2023","3,960.28","3,878.93","3,964.46","3,864.11","","1.76%"
"15/03/2023","3,891.93","3,876.74","3,894.26","3,838.24","","-0.73%"
"14/03/2023","3,920.56","3,894.01","3,937.29","3,873.63","","1.68%"
"13/03/2023","3,855.76","3,835.12","3,905.05","3,808.86","","-0.15%"
"10/03/2023","3,861.59","3,912.77","3,934.05","3,846.32","","-1.45%"
"09/03/2023","3,918.32","3,998.66","4,017.81","3,908.70","","-1.85%"
"08/03/2023","3,992.01","3,987.55","4,000.41","3,969.76","","0.14%"
"07/03/2023","3,986.37","4,048.26","4,050.00","3,980.31","","-1.53%"
"06/03/2023","4,048.42","4,055.15","4,078.49","4,044.61","","0.07%"
"03/03/2023","4,045.64","3,998.02","4,048.29","3,995.17","","1.61%"
"02/03/2023","3,981.35","3,938.68","3,990.84","3,928.16","","0.76%"
"01/03/2023","3,951.39","3,963.34","3,971.73","3,939.05","","-0.47%"
"28/02/2023","3,970.15","3,977.19","3,997.50","3,968.98","","-0.30%"
"27/02/2023","3,982.24","3,992.36","4,018.05","3,973.55","","0.31%"
"24/02/2023","3,970.04","3,973.24","3,978.25","3,943.08","","-1.05%"
"23/02/2023","4,012.32","4,018.60","4,028.30","3,969.19","","0.53%"
"22/02/2023","3,991.05","4,001.83","4,017.37","3,976.90","","-0.16%"
"21/02/2023","3,997.34","4,052.35","4,052.35","3,995.19","","-2.00%"
"17/02/2023","4,079.09","4,077.39","4,081.51","4,047.95","","-0.28%"
"16/02/2023","4,090.41","4,114.75","4,136.54","4,089.49","","-1.38%"
"15/02/2023","4,147.60","4,119.50","4,148.11","4,103.98","","0.28%"
"14/02/2023","4,136.13","4,126.70","4,159.77","4,095.01","","-0.03%"
"13/02/2023","4,137.29","4,096.62","4,138.90","4,092.67","","1.14%"
"10/02/2023","4,090.46","4,068.92","4,094.36","4,060.79","","0.22%"
"09/02/2023","4,081.50","4,144.25","4,156.23","4,069.67","","-0.88%"
"08/02/2023","4,117.86","4,153.47","4,156.85","4,111.67","","-1.11%"
"07/02/2023","4,164.00","4,105.35","4,176.54","4,088.39","","1.29%"
"06/02/2023","4,111.08","4,119.57","4,124.63","4,093.38","","-0.61%"
"03/02/2023","4,136.48","4,136.69","4,182.36","4,123.36","","-1.04%"
"02/02/2023","4,179.76","4,158.68","4,195.44","4,141.88","","1.47%"
"01/02/2023","4,119.21","4,070.07","4,148.95","4,037.20","","1.05%"
"31/01/2023","4,076.60","4,020.85","4,077.16","4,020.44","","1.46%"
"30/01/2023","4,017.77","4,049.27","4,063.85","4,015.55","","-1.30%"
"27/01/2023","4,070.56","4,053.72","4,094.21","4,048.70","","0.25%"
"26/01/2023","4,060.43","4,036.08","4,061.57","4,013.29","","1.10%"
"25/01/2023","4,016.22","3,982.71","4,019.55","3,949.06","","-0.02%"
"24/01/2023","4,016.95","4,001.74","4,023.92","3,989.79","","-0.07%"
"23/01/2023","4,019.81","3,978.14","4,039.31","3,971.64","","1.19%"
"20/01/2023","3,972.61","3,909.04","3,972.96","3,897.86","","1.89%"
"19/01/2023","3,898.85","3,911.84","3,922.94","3,885.54","","-0.76%"
"18/01/2023","3,928.86","4,002.25","4,014.16","3,926.59","","-1.56%"
"17/01/2023","3,990.97","3,999.28","4,015.39","3,984.57","","-0.20%"
"13/01/2023","3,999.09","3,960.60","4,003.95","3,947.67","","0.40%"
"12/01/2023","3,983.17","3,977.57","3,997.76","3,937.56","","0.34%"
"11/01/2023","3,969.61","3,932.35","3,970.07","3,928.54","","1.28%"
"10/01/2023","3,919.25","3,888.57","3,919.83","3,877.29","","0.70%"
"09/01/2023","3,892.09","3,910.82","3,950.57","3,890.42","","-0.08%"
"06/01/2023","3,895.08","3,823.37","3,906.19","3,809.56","","2.28%"
"05/01/2023","3,808.10","3,839.74","3,839.74","3,802.42","","-1.16%"
"04/01/2023","3,852.97","3,840.36","3,873.16","3,815.77","","0.75%"
"03/01/2023","3,824.14","3,853.29","3,878.46","3,794.33","","-0.40%"
"30/12/2022","3,839.50","3,829.06","3,839.85","3,800.34","","-0.25%"
"29/12/2022","3,849.28","3,805.45","3,858.19","3,805.45","","1.75%"
"28/12/2022","3,783.22","3,829.56","3,848.32","3,780.78","","-1.20%"
"27/12/2022","3,829.25","3,843.34","3,846.65","3,813.22","","-0.40%"
